,name,title,degrees,leave
200,Paul M. Karabinos,Charles L. MacMillan Professor in Natural Sciences,"1975, B.S., University of Connecticut, 1981, Ph.D., Johns Hopkins University",s
201,Catherine M. Kealhofer,Assistant Professor of Physics,"2003, A.B., Princeton University, 2013, Ph.D., Stanford University",n
202,Christiann L. Kelsey,Assistant Professor of Physical Education and Head Women’s Volleyball Coach,"2000, B.S., Purdue University, 2012, M.S., Northeastern University",n
203,Kathryn R. Kent,Chair and Professor of English,"1988, B.A., Williams College, 1993, M.A., Duke University, 1996, Ph.D., Duke University",n
204,Susanne C. Kerekes,Gaius Charles Bolin Fellow in Religion and Asian Studies,"2007, B.A., DePauw University, 2012, M.A., Mahidol University",n
205,Herbert L. Kessler,Croghan Bicentennial Professor in Biblical and Early Christian Studies,"1961, B.A., University of Chicago, 1963, M.F.A., Princeton University, 1965, Ph.D., Princeton University, Fall 2018",n
206,Savan Kharel,Visiting Assistant Professor of Physics,none,n
207,Anthony Kim,Visiting Assistant Professor of American Studies,"2006, B.A., University of California, San Diego, 2013, M.A., University of California, San Diego, 2016, Ph.D., University of California, San Diego",n
208,Kris N. Kirby,Professor of Psychology,"1985, B.A., Marshall University, 1991, Ph.D., Harvard University",n
209,Roger A. Kittleson,Professor of History,"1985, B.A., Northwestern University, 1990, M.A., University of Wisconsin, Madison, 1997, Ph.D., University of Wisconsin, Madison",y
210,John E. Kleiner,Professor of English,"1983, B.A., Amherst College, 1988, M.A., Stanford University, 1991, Ph.D., Stanford University",y
211,Bernhard Klingenberg,Professor of Statistics,"1996, B.A., Technical University, 1998, M.S., Technical University, 2004, Ph.D., University of Florida",y
212,Eric C. Knibbs,Associate Professor of History and Faculty Affiliate in Religion,"2004, B.A., University of Pennsylvania, 2009, Ph.D., Yale University",n
213,Pia M. Kohler,Assistant Professor of Environmental Studies,"1998, B.S., McGill University, 2001, M.E.S., Yale School of Forestry and Environmental Studies, 2006, Ph.D., Massachusetts Institute of Technology",n
214,Thomas A. Kohut,Sue and Edgar Wachenheim III Professor of History,"1972, B.A., Oberlin College, 1975, M.A., University of Minnesota, 1983, Ph.D., University of Minnesota",s
215,Anjuli F. Kolb,Assistant Professor of English,"2003, B.A., Columbia University, 2008, M.Phil., Columbia University, 2013, Ph.D., Columbia University",n
216,Christophe A. Koné,Assistant Professor of German,"2006, M.A., Université Lumière Lyon 2, 2013, Ph.D., Rutgers University",y
217,Nathan Kornell,Associate Professor of Psychology,"1996, B.A., Reed College, 2001, M.A., Columbia University, 2005, Ph.D., Columbia University",n
218,Elizaveta A. Koryushkina,Visiting Assistant Professor of Anthropology,"2011, Ph.D., Brown University",n
219,Lu Kou,Visiting Assistant Professor of Chinese,"2018, Ph.D., Harvard University",n
220,Cornelius C. Kubler,Stanfield Professor of Asian Studies,"1972, B.A., Cornell University, 1978, M.A., National Taiwan University, 1981, Ph.D., Cornell University",n
221,Joanna Kurkowicz,"Lyell B. Clay Artist in Residence. Violin and Concertmaster, Berkshire Symphony","1994, M.M., University of Massachusetts Amherst",f
222,Steven J. Kuster,Assistant Professor of Physical Education and Head Swim Coach,"1993, B.A., University of Pennsylvania, 1999, M.Ed., Harvard University",n
223,Kenneth N. Kuttner,Robert F. White Class of 1952 Professor of Economics,"1982, B.A., University of California, Berkeley, 1989, Ph.D., Harvard University",f
224,Karen B. Kwitter,Ebenezer Fitch Professor of Astronomy,"1972, B.A., Wellesley College, 1974, M.A., University of California, Los Angeles, 1979, Ph.D., University of California, Los Angeles",f
225,Sara LaLumia,Associate Professor of Economics,"2000, B.A., Youngstown State University, 2006, Ph.D., University of Michigan",n
226,Edwin I. Lawrence,"Artist Associate in Harpsichord, Piano and Organ and Lecturer in Music","1969, B.M., State University of New York, Fredonia",n
227,Tim J. Lebestky,Associate Professor of Biology,"1995, B.S., University of Kansas, 2002, Ph.D., University of California, Los Angeles",s
228,Alice Lee,Assistant Professor of Physical Education and Head Women’s Lacrosse Coach,"2009, B.S., Central Connecticut State University, 2015, M.S., University of Massachusetts Amherst",n
229,Joel G. Lee,Assistant Professor of Anthropology,"1998, B.A., Kenyon College, 2008, M.A., Columbia University, 2015, Ph.D., Columbia University",y
230,Jason R. Lemieux,Assistant Professor of Physical Education and Head Nordic Ski Coach,"2001, B.A., Williams College",n
231,William J. Lenhart,A. Barton Hepburn Professor of Computer Science,"1977, B.S., Saint Josephs College, 1979, M.A., Dartmouth College, 1983, Ph.D., Dartmouth College",n
232,Kelsey Levine,Assistant Professor of Physical Education and Head Alpine Ski Coach,"2010, B.A., Williams College",n
233,Zafrir Levy,Assistant Professor of Physical Education and Head Squash Coach,"2001, B.A., Williams College",n
234,Michael J. Lewis,Faison-Pierson-Stoddard Professor of Art History,"1980, B.A., Haverford College, 1989, Ph.D., University of Pennsylvania",n
235,Scott A. Lewis,Assistant Professor of Physical Education and Director of Outing Club,"1980, B.S., Stanford, 1985, M.Ed., Stanford",n
236,John K. Limon,John J Gibson Professor of English,"1974, B.A., Harvard University, 1981, Ph.D., University of California, Berkeley",n
237,Haydee M. A. Lindo,Assistant Professor of Mathematics,"2008, B.A., Williams College, 2012, M.S., University of Nevada, Lincoln, 2016, Ph.D., University of Utah",n
238,Robert A. Livingstone,"Lecturer in Physical Education, Head Strength and Conditioning Coach","2000, B.S., Jacksonville State University, 2001, M.S., Jacksonville State University",n
239,David W. Loehlin,Assistant Professor of Biology,"2003, A.B., University of Chicago, 2011, Ph.D., University of Rochester",n
240,Susan R. Loepp,Chair and Professor of Mathematics,"1989, B.S., Bethel College, 1994, Ph.D., University of Texas, Austin",n
241,Margaret G. Long,Professor of History,"1989, B.A., Wesleyan University, 1994, M.A., University of Chicago, 2003, Ph.D., University of Chicago",n
242,David A. Love,Professor of Economics,"1996, B.A., University of Michigan, 1998, M.A., Yale University, 2003, Ph.D., Yale University",n
243,Kimberly S. Love,Assistant Professor of English,"2010, B.A., Tuskegee University, 2017, Ph.D., University of Virginia",n
244,Peter D. Low,Professor of Art,"1994, B.A., University of Toronto, 1995, M.A., Johns Hopkins University, 2001, Ph.D., Johns Hopkins University",y
245,Natalie E. Lozinski-Veach,Visiting Assistant Professor of German,"2010, B.A., State University of New York, New Paltz, 2016, Ph.D., Brown University",n
246,Daniel V. Lynch,Philip and Dorothy Schein Professor of Biology,"1979, B.S., University of Massachusetts Lowell, 1983, Ph.D., University of Texas, Austin",n
247,Michael D. MacDonald,Frederick L. Schuman Professor of International Relations,"1972, B.A., University of California, Berkeley, 1974, M.A., University of California, Berkeley, 1983, Ph.D., University of California, Berkeley",y
248,Jennifer L. MacIntire,Lecturer in Biology and Chemistry,"1992, B.A., University of Vermont",n
249,Alicia C. Maggard,Postdoctoral Fellow in Maritime History,"2010, B.A., Willamette University, 2014, M.A., Brown University, 2018, Ph.D., Brown University",n
250,James E. Mahon Jr.,Woodrow Wilson Professor of Political Science,"1977, B.A., Dartmouth College, 1983, M.A., University of California, Berkeley, 1989, Ph.D., University of California, Berkeley",n
251,Protik K. Majumder,Barclay Jermain Professor of Natural Philosophy,"1982, B.S., Yale University, 1989, Ph.D., Harvard University",n
252,Shervin Malekzadeh,Visiting Assistant Professor of Political Science,"1996, A.B., Stanford University, 2006, M.A., Georgetown University, 2011, Ph.D., Georgetown University",n
253,Marc S. Mandel,Assistant Professor of Physical Education and Head Men’s Crew Coach,"1998, B.A., Northwestern University, 2012, M.B.A., Georgetown University",n
254,Maud S. Mandel,Professor of History,none,n
255,James A. Manigault-Bryant,Associate Professor of Africana Studies,"1995, B.A., Tulane University, 2002, Ph.D., Brown University",n
256,LeRhonda S. Manigault-Bryant,Associate Professor of Africana Studies and Faculty Affiliate in Religion,"1999, A.B., Duke University, 2002, M.Div., Emory University, 2007, Ph.D., Emory University",n
257,Patricia M. Manning,Assistant Professor of Physical Education and Head Women’s Basketball Coach,"1977, B.S., State University of New York, Cortland, 1988, M.S., Smith College",n
258,Luana S. Maroja,Associate Professor of Biology,"1999, B.S., Universidade Federal do Rio de Janeiro, 2001, M.S., Universidade Federal do Rio de Janeiro, 2008, Ph.D., Cornell University",f
259,Brian Martin,Professor of French & Comparative Literature,"1993, A.B., Harvard University, 1999, M.A., Harvard University, 2003, Ph.D., Harvard University",n
260,Laura J. Martin,Assistant Professor of Environmental Studies  and Faculty Affiliate in History,"2006, S.B., Brown University, 2010, M.S., Cornell University, 2015, Ph.D., Cornell University",n
261,Martha J. Marvin,Lecturer in Neuroscience,"1984, B.A., University of California, Berkeley, 1995, Ph.D., Massachusetts Institute of Technology",n
262,Aleksandar Matovski,Mellon Postdoctoral Fellow in Political Science,"2015, Ph.D., Cornell University",n
263,James McAllister,Chair and Fred Greene Third Century Professor of Political Science,"1986, B.A., State University of New York, Buffalo, 1989, M.A., Columbia University, 1999, Ph.D., Columbia University",n
264,George M. McCormack,"Assistant Professor of Physical Education, Head Men’s Lacrosse Coach","1987, B.S., Ithaca College, 2007, M.Ed., Boston University",n
265,Mark T. McDonough,"Lecturer in Physical Education, Assistant Football Coach","2002, B.S., Ithaca College",n
266,Robert H. McElver,Visiting Lecturer in Theatre,"2005, B.A., San Francisco State University, Spring 2019",n
267,Elizabeth P. McGowan,Chair and Professor of Art,"1979, B.A., Princeton University, 1981, M.A., New York University Institution of Fine Arts, 1983, Ph.D., New York University Institution of Fine Arts",n
268,Morgan S. McGuire,Professor of Computer Science,"2000, B.S., Massachusetts Institute of Technology, 2003, M.S., Brown University, 2006, Ph.D., Brown University",y
269,Keith E. McPartland,Associate Professor of Philosophy,"1994, B.A., Rutgers University, 1998, M.A., Cornell University, 2007, Ph.D., Cornell University",n
270,Gage C. McWeeny,Professor of English,"1993, B.A., Columbia University, 1998, M.A., Princeton University, 2003, Ph.D., Princeton University",n
271,Lisa M. Melendy,"Chair, Director of Athletics and Assistant Professor in Physical Education","1982, A.B., Smith College, 1985, M.S., University of Massachusetts Amherst",n
272,Carolina Melgarejo-Torres,Visiting Assistant Professor of Spanish,"2008, B.A., University",n
273,Nac Autonoma,none,"2012, M.A., El Colegio de Mexico, 2018, Ph.D., El Colegio de Mexico",n
274,Nicole E. Mellow,Professor of Political Science,"1992, B.A., Vassar College, 2003, Ph.D., University of Texas, Austin",n
275,Karen R. Merrill,Frederick Rudolph ’42 – Class of 1965 Professor of American Culture,"1986, B.A., Oberlin College, 1988, M.A., University of Denver, 1994, Ph.D., University of Michigan",n
276,Brian E. Messier,Artist in Residence in Winds and Director of the Wind Ensemble,"2003, B.M., Ithaca College, 2011, M.M., University of Massachusetts Amherst, 2014, D.M., University of Minnesota",n
277,Carolyn D. Miles,Assistant Professor of Physical Education and Associate Director/Student Athlete Services,"1998, B.S., University of New Hampshire, 2008, M.S., Columbia University",n
278,Andrew C. Miller,Visiting Assistant Professor of English,"2011, B.A., Rhodes College, 2014, M.A., Princeton University, 2018, Ph.D., Princeton University",n
279,Steven J. Miller,Professor of Mathematics,"1996, B.S., Yale University, 1998, M.A., Princeton University, 2002, Ph.D., Princeton University",s
280,Marion S. Min-Barron,Visiting Lecturer,"2002, B.A., Middlebury College, 2010, M.S., Tufts University, 2016, Ph.D., Tufts University",n
281,Gregory C. Mitchell,Associate Professor of Women’s Gender and Sexuality Studies and Faculty Affiliate in Anthropology/Sociology,"2000, B.S., Illinois State University, 2007, M.A., University of Chicago, 2012, Ph.D., Northwestern University",n
282,Bojana Mladenovic,Professor of Philosophy,"1984, B.A., University of Belgrade, 1987, M.A., McGill University, 1996, Ph.D., University of California, Berkeley",n
283,Michele Monserrati,Visiting Assistant Professor of Comparative Literature and Romance Languages,"2009, M.A., Rutgers University, 2012, Ph.D., Rutgers University",n
284,Peter J. Montiel,Fairleigh S. Dickinson Jr. ’41 Professor of Economics,"1973, B.A., Yale University, 1973, Ph.D., Massachusetts Institute of Technology",n
285,Manuel A. Morales,Professor of Biology,"1994, A.B., Kenyon College, 1999, Ph.D., University of Connecticut",f
286,Ralph E. Morrison,Assistant Professor of Mathematics,"2010, B.A., Williams College, 2015, Ph.D., University of California, Berkeley",n
287,Murad K. Mumtaz,Assistant Professor of Art,"2004, B.F.A., National College of Arts, 2010, M.F.A., Columbia University, 2018, Ph.D., University of Virginia",n
288,Ngonidzashe Munemo,Associate Professor of Political Science,"2000, B.A., Bard College, 2001, M.A., Columbia University, 2008, Ph.D., Columbia University",n
289,Tendai Muparutsa,"Artist in Residence in African Music Performance, Lecturer in Music, Director of Zambezi, Co-Director of Kusika","2012, Ph.D., University of Alberta",n
290,Peter T. Murphy,John Hawley Roberts Professor of English,"1981, B.A., Yale University, 1986, Ph.D., Johns Hopkins University",y
291,Thomas P. Murtagh,John B. McCoy and John T. McCoy Professor of Computer Science,"1974, A.B., Princeton University, 1976, M.S., Cornell University, 1983, Ph.D., Cornell University",n
292,Kenda B. Mutongi,Professor of History,"1989, B.A., Coe College, 1993, M.A., University of Virginia, 1996, Ph.D., University of Virginia",y
293,Steven E. Nafziger,Professor of Economics,"2000, B.A., Northwestern University, 2003, M.Phil., Yale University, 2006, Ph.D., Yale University",n
294,Lama Nassif,Assistant Professor of Comparative Literature,"1994, B.A., Damascus University, 2007, M.A., Middlebury Institute of International Studies at Monterey, 2014, Ph.D., University of Texas, Austin",y
295,Elias W. Nelson,Assistant Professor of American Studies,"2012, B.A., Shimer College, 2013, M.A., Harvard University, 2018, Ph.D., Harvard University",n
296,Gail M. Newman,Harold J. Henry Professor of German,"1976, B.A., Northwestern University, 1981, M.A., University of Minnesota, 1984, Ph.D., University of Minnesota",n
297,Wairimu R. Njoya,Assistant Professor of Political Science,"2002, B.A., Macalester College, 2004, M.A., University of Amsterdam, 2010, Ph.D., Rutgers University",n
298,James L. Nolan Jr.,Washington Gladden 1859 Professor of Sociology,"1984, B.A., University of California, Davis, 1992, M.A., University of Virginia, 1995, Ph.D., University of Virginia",f
299,Daniel J. Norton,Visiting Assistant Professor of Psychology,"2005, B.A., Gordon College, 2011, M.A., Boston University, 2015, Ph.D., Boston University",n
300,Christopher M. B. Nugent,Professor of Chinese,"1991, B.A., Brown University, 2004, Ph.D., Harvard University",n
301,Carol J. Ockman,Robert Sterling Clark Professor of Art,"1972, B.A., Stanford University, 1975, M.A., Yale University, 1982, Ph.D., Yale University",n
302,William W. Olney,Associate Professor of Economics,"2002, B.A., Wesleyan University, 2010, Ph.D., University of Colorado",n
303,Sarah E. Olsen,Assistant Professor of Classics,"2008, B.A., Wellesley College, 2010, M.A., University of California, Berkeley, 2016, Ph.D., University of California, Berkeley",n
304,Brooke Suzanne Olson Blair,Instructor in Chemistry,"2003, B.A., University of Saint Thomas, Houston, 2005, M.S., University of California, Berkeley",n
305,Ianna Hawkins Owen,Assistant Professor of English,"2008, B.A., City University of New York, 2010, M.A., University of California, Berkeley, 2016, Ph.D., University of California, Berkeley",n
306,Allison M. Pacelli,Professor of Mathematics,"1997, B.S., Union College, 2003, Ph.D., Brown University",f
307,Lee Y. Park,Chair and William R. Kenan Jr. Professor of Chemistry,"1986, B.A., Wellesley College, 1992, Ph.D., Massachusetts Institute of Technology",n
308,Paul C. Park,Senior Lecturer in English,"1975, B.A., Hampshire College",n
309,Janine M. Parker,Artist-in-Residence in Dance,none,n
310,Jay M. Pasachoff,Chair and Field Memorial Professor of Astronomy,"1963, A.B., Harvard University, 1965, A.M., Harvard University, 1969, Ph.D., Harvard University",s
311,Darel E. Paul,Professor of Political Science,"1990, B.A., University of Minnesota, 1994, M.A., George Washington University, 2000, Ph.D., University of Minnesota",n
312,Enrique Peacock-López,Halford R Clark Professor of Natural Sciences,"1974, B.S., University Nac Autonoma, 1976, M.S., University of California, Riverside, 1982, Ph.D., University of California, San Diego",n
313,Lori A. Pedersen,Lecturer in Mathematics,"1982, B.A., College of Wooster, 1985, M.A., Brown University",n
314,Julia A. Pedroni,Lecturer in Philosophy,"1986, B.A., Wells College, 1999, Ph.D., Georgetown University",n
315,Peter L. Pedroni,Professor of Economics,"1986, B.A., Miami University, 1993, M.A., Columbia University, 1993, Ph.D., Columbia University",n
316,Ileana Perez Velazquez,Professor of Music,"1989, B.M., Higher Institution of Arts, 1995, M.A., Dartmouth College, 1999, D.M.A., IN University",n
317,Sebastian Perez,Gaius Charles Bolin Fellow in Latina/o Studies,"2010, B.A., Yale University, 2016, M.Phil., Yale University",n
318,James L. Pethica,Senior Lecturer in English and Theatre,"1980, B.A., Oxford University, 1987, Ph.D., Oxford University",n
319,Melinda Petre,Visiting Assistant Professor of Economics,"2014, Ph.D., University of Texas, Austin",n
320,Gregory B. Phelan,Assistant Professor of Economics,"2007, B.A., Yale University, 2012, M.Phil., Yale University, 2014, Ph.D., Yale University",n
321,Katarzyna M. Pieprzak,"Professor of Francophone Literature, French Language, and Comparative Literature, ","1995, B.A., Rice University, 1998, M.A., University of Michigan, 2001, Ph.D., University of Michigan",n
322,Michelyne J. Pinard,Assistant Professor of Physical Education and Head Women’s Soccer Coach,"1998, B.A., Dartmouth College, 2002, M.S., University of Pennsylvania",n
323,Anna M. Plantinga,Assistant Professor of Statistics,"2013, B.S., Calvin College, 2018, Ph.D., University of Washington",n
324,Amy D. Podmore,J. Kirk T. Varnedoe ’67 Professor of Art,"1982, B.S., State University of New York, Buffalo, 1987, M.F.A., University of California, Davis",n
325,Kailani Polzak,Assistant Professor of Art,"2007, B.A., University of California, Santa Cruz, 2017, Ph.D., University of California, Berkeley",n
326,Lindsay S. Pope,Visiting Director of Choral/Vocal Activities,none,s
327,Daniel E. Prindle,Visiting Instructor in Music,"2003, B.M., Berklee College of Music, 2011, M.M., University of Massachusetts Amherst",n
328,Timothy J. Pusack,Assistant Professor at Williams-Mystic,"2005, B.A., Colgate University, 2013, Ph.D., Oregon State University",n
329,Christopher L. Pye,Class of 1924 Professor of English,"1975, B.A., Oberlin College, 1977, M.A., University College, 1984, Ph.D., Cornell University",n
330,Ashok S. Rai,Associate Professor of Economics,"1992, B.A., Stanford University, 1997, Ph.D., University of Chicago",s
331,Robert J. Rawle,Assistant Professor of Chemistry,"2008, B.A., Pomona College, 2014, Ph.D., Stanford University",n
332,Mark R. Raymond,Assistant Professor of Physical Education and Head Coach of Football,none,n
333,Anne Reinhardt,Chair and Professor of History,"1990, B.A., Harvard University, 1994, M.A., University of California, Berkeley, 2002, Ph.D., Princeton University",n
334,Mark T. Reinhardt,Class of 1956 Professor of American Civilization,"1983, B.A., Wesleyan University, 1991, Ph.D., University of California, Santa Cruz",y
335,Eli M. Remolona,Visiting Professor of Economics,none,s
336,Bernard J. Rhie,Associate Professor of English,"1997, B.A., University of California, Berkeley, 2001, M.A., University of Pennsylvania, 2005, Ph.D., University of Pennsylvania",n
337,David P. Richardson,William R. Kenan Jr. Professor of Chemistry ,"1979, B.S., University of Michigan, 1984, Ph.D., University of California, Berkeley",n
338,Kathryn L. Ringer-Hilfinger,Visiting Assistant Professor of Spanish,"2003, B.A., State University of New York, Geneseo, 2004, M.A., Middlebury College, 2013, Ph.D., State University of New York, Albany, Fall 2018",n
339,Neil Roberts,Associate Professor of Africana Studies and Faculty Affiliate in Political Science,"1998, B.A., Brown University, 2003, M.A., University of Chicago, 2007, Ph.D., University of Chicago",n
340,Tyler J. Rogers,Gaius Charles Bolin Fellow in American Studies,"2012, B.A., Brown University, 2015, M.Phil., Yale University",n
341,Shantee L. Rosado,U.S. Afro-Latinidades Fellow In Latina and Latino Studies,"2005, B.A., Macalester College, 2013, M.A., University of Pennsylvania, 2018, Ph.D., University of Pennsylvania",n
342,Nelly A. Rosario,Visiting Artist in Residence in Latina and Latino Studies,"1994, S.B., Massachusetts Institute of Technology, 1998, M.F.A., Columbia University",n
343,Emmelyn B. Rosen,Postdoctoral Research Fellow in the Graduate Program in Art History,"2006, B.A., Columbia University, 2009, M.A., Princeton University, 2015, Ph.D., Princeton University",n
344,Shawn J. Rosenheim,Professor of English,"1985, B.A., Oberlin College, 1988, M.A., Yale University, 1993, Ph.D., Yale University",f
345,Leyla Rouhi,Preston S. Parish ’41 Third Century Professor of Romance Languages,"1987, B.A., Oxford University, 1988, M.A., Harvard University, 1995, Ph.D., Harvard University",n
346,Marketa Rulikova Edwards,Visiting Assistant Professor of Sociology,"1996, B.A., University of Pardubice, 1997, M.A., Central European University, 2001, Ph.D., Polish Academy of Science",n
347,Mérida M. Rúa,Professor of Latina/o and American Studies,"1993, B.A., University of Illinois, 1995, M.Ed., University of Illinois, 2004, Ph.D., University of Michigan",n
348,Sophie F. Saint-Just,Assistant Professor of French and Francophone Studies,"1991, B.A., University of Paris VIII, 2004, M.Phil., City University of New York, 2013, Ph.D., City University of New York",n
349,Lisa R. Saltzman,Lecturer in the Graduate Program in Art History,"1988, B.A., Princeton University, 1991, M.A., Harvard University, 1994, Ph.D., Harvard University, Fall 2018",n
350,Michael Samson,Senior Lecturer in Economics,"1983, B.A., Yale University, 1994, Ph.D., Stanford University",n
351,Marlene J. Sandstrom,Hales Professor of Psychology,"1991, B.A., Yale University, 1993, M.A., Duke University, 1996, Ph.D., Duke University",n
352,Noah J. Sandstrom,Professor of Psychology,"1994, B.A., Knox College, 1997, M.A., Duke University, 1999, Ph.D., Duke University",n
353,Omar A. Sangare,Professor of Theatre,"1993, M.F.A., The Theatre Academy, 2006, Ph.D., The Theatre Academy",n
354,Robert M. Savage,Professor of Biology,"1987, B.A., Bowdoin College, 1993, Ph.D., Wesleyan University",n
355,Kenneth K. Savitsky,Professor of Psychology,"1993, B.A., IN University, 1997, Ph.D., Cornell University",f
356,Jana L. Sawicki,Chair of Philosophy and Morris Professor of Rhetoric,"1974, B.A., Sweet Briar College, 1978, M.A., Columbia University, 1983, Ph.D., Columbia University",n
357,Lucille G. Schmidt,Professor of Economics and Director of the Williams-Exeter Programme at Oxford University,"1993, A.B., Smith College, 1997, M.A., University of Michigan, 2003, Ph.D., University of Michigan",n
358,Dylan J. Schneider,Visiting Assistant Professor of Music,"2006, B.A., Amherst College, 2013, Ph.D., University of Chicago",n
359,Pallavi Sen,Assistant Professor of Art,none,n
360,Justin B. Shaddock,Assistant Professor of Philosophy,"2004, B.A., University of Notre Dame, 2011, Ph.D., University of Chicago",n
361,Cheryl L. Shanks,Professor of Political Science,"1983, B.A., University of California, Santa Cruz, 1988, M.A., University of Michigan, 1994, Ph.D., University of Michigan",n
362,James R. Shepard,"J. Leland Miller Professor of American History, Literature, and Eloquence","1978, B.A., Trinity College, 1980, M.F.A., Brown University",n
363,Karen L. Shepard,Senior Lecturer in English,"1987, B.A., Williams College, 1992, M.F.A., University of Houston",n
364,Stephen C. Sheppard,Class of 2012 Professor of Economics,"1977, B.S., University of Utah, 1979, M.A., Washington University, 1984, Ph.D., Washington University",f
365,W. Anthony Sheppard,Marylin & Arthur Levitt Professor of Music,"1991, B.A., Amherst College, 1993, M.F.A., Princeton University, 1996, Ph.D., Princeton University",s
366,Olga Shevchenko,Professor of Sociology,"1996, B.A., Moscow State University, 1997, M.A., Central European University, 2002, Ph.D., University of Pennsylvania",n
367,Grant W. Shoffstall,Visiting Assistant Professor of Sociology,"2002, B.A., Illinois State University, 2006, M.A., Illinois State University, 2014, Ph.D., University of Illinois",n
368,Lara D. Shore-Sheppard,Kimberly A. ’96 and Robert R. ’62 Henry Professor of Economics,"1991, B.A., Amherst College, 1993, M.A., Princeton University, 1996, Ph.D., Princeton University",s
369,Cesar E. Silva,Hagey Family Professor of Mathematics,"1977, B.S., Catholic University of Peru, 1979, M.A., University of Rochester, 1984, Ph.D., University of Rochester",n
370,Christina E. Simko,Assistant Professor of Sociology,"2005, B.A., Bridgewater College, 2007, M.A., University of Virginia, 2013, Ph.D., University of Virginia",y
371,Swati Singh,Assistant Professor of Physics,"2004, B.S., McMaster University, 2007, M.S., University of British Columbia, 2012, Ph.D., University of Arizona",y
372,Shanti M. Singham,Professor of History,"1980, B.A., Swarthmore College, 1982, M.A., Princeton University, 1991, Ph.D., Princeton University",n
373,Eiko Maruko Siniawer,Professor of History,"1997, B.A., Williams College, 1999, M.A., Harvard University, 2003, Ph.D., Harvard University",n
374,Andrew R. Sisson,Visiting Assistant Professor of English,"2004, B.A., Kenyon College, 2008, M.A., Johns Hopkins University, 2014, Ph.D., Johns Hopkins University",n
375,Yana Skorobogatov,Assistant Professor of History,"2009, B.A., University of California, Berkeley, 2012, M.A., University of Texas, Austin, 2018, Ph.D., University of California, Berkeley",n
376,Laura A. Smalarz,Assistant Professor of Psychology,"2008, B.A., San Diego State University, 2011, M.S., Iowa State University, 2015, Ph.D., Iowa State University",y
377,David L. Smith,John W Chandler Professor of English,"1974, B.A., New College, 1975, M.A., University of Chicago, 1980, Ph.D., University of Chicago",y
378,Thomas E. Smith,Professor of Chemistry,"1988, B.A., Williams College, 1996, Ph.D., Stanford University",y
379,Benjamin H. Snyder,Assistant Professor of Sociology,"2003, B.A., Haverford College, 2007, M.A., University of Virginia, 2013, Ph.D., University of Virginia",n
380,Greta F. Snyder,Visiting Assistant Professor of Women’s Gender and Sexuality Studies,"2003, B.A., Haverford College, 2007, M.A., University of Virginia, 2011, Ph.D., University of Virginia",n
381,Anita R. Sokolsky,Professor of English,"1974, B.A., Oberlin College, 1979, M.A., Cornell University, 1983, Ph.D., Cornell University",n
382,Stefanie Solum,Professor of Art,"1991, B.A., University of Wisconsin, Madison, 1995, M.A., University of California, Berkeley, 2001, Ph.D., University of California, Berkeley",y
383,Steven P. Souza,Senior Lecturer in Astronomy,"1973, B.S., Cooper Union, 1979, Ph.D., State University of New York, Stony Brook",n
384,Doris J. Stevenson,"Lyell B. Clay Artist in Residence, Piano","1967, B.M., Arizona State University, 1969, M.M., University of Southern CA",n
385,Mihai Stoiciu,Professor of Mathematics,"1999, B.S., University of Bucharest, 2005, Ph.D., California Institute of Technology",y
386,Jason A. Storm,Chair and Associate Professor of Religion,"1999, B.A., Hampshire College, 2001, M.A., Harvard University, 2006, Ph.D., Stanford University",n
387,Frederick W. Strauch,Chair and Associate Professor of Physics,"1998, B.S., Loyola College, 2004, Ph.D., University of Maryland",n
388,Laura R. Strauch,Lecturer in Chemistry,"1999, B.S., Loyola College",n
389,Catherine B. Stroud,Associate Professor of Psychology,"2002, B.A., University of Wisconsin, Madison, 2006, M.A., State University of New York, Stony Broo, 2009, Ph.D., State University of New York, Stony Brook",s
390,Erin L. Sullivan,"Assistant Professor of Physical Education, Head Men’s Soccer Coach","1996, B.A., Williams College, 2006, M.B.A., Western New England College",n
391,Matthew P. Swagler,Visiting Assistant Professor of History,"2002, B.A., Brown University, 2012, M.Phil., Columbia University, 2017, Ph.D., Columbia University",n
392,Anand V. Swamy,The Willmott Family Third Century Professor of Economics,"1983, B.A., University of Delhi, 1985, M.A., Delhi School of Economics, 1993, Ph.D., Northwestern University",n
393,Steven J. Swoap,Chair and Professor of Biology,"1990, B.A., Trinity University, 1994, Ph.D., University of California, Irvine",s
394,Munjulika Tarah,Assistant Professor of Dance,"2006, B.A., Randolph-Macon Woman’s College, 2007, M.A., Northwestern University, 2013, Ph.D., Northwestern University",n
395,John W. Thoman Jr.,J. Hodge Markgraf Professor of Chemistry,"1982, B.A., Williams College, 1987, Ph.D., Massachusetts Institute of Technology",n
396,Owen Thompson-Ferguson,Assistant Professor of Economics,"2005, B.A., Evergreen State College, 2013, Ph.D., University of Massachusetts Amherst",n
397,Christian Thorne,Professor of English,"1995, B.A., Wesleyan University, 2001, Ph.D., Duke University",s
398,Stephen J. Tifft,Professor of English,"1975, B.A., Harvard University, 1976, M.A., Cornell University, 1984, Ph.D., Cornell University",n
399,Claire S. Ting,Professor of Biology,"1986, B.A., Yale University, 1989, M.S., Cornell University, 1994, Ph.D., Cornell University",n
400,Matthew N. Tokeshi,Assistant Professor of Political Science,"2006, B.A., University of California, Berkeley, 2012, M.A., Princeton University, 2016, Ph.D., Princeton University",n
