,name,title,degrees,leave
56,Donald R. Carlson,Visiting Professor of Economics,"1983, B.A., Williams College, 1986, J.D., Harvard University",n
57,Nicholas G. Carr,Richmond Visiting Professor,none,s
58,Anthony J. Carrasquillo,Assistant Professor of Chemistry,"2007, B.A., Bowdoin College, 2015, Ph.D., Massachusetts Institute of Technology",n
59,Matthew E. Carter,Assistant Professor of Biology,"2000, B.A., Whitman College, 2010, Ph.D., Stanford University",n
60,Alison A. Case,Dennis A. Meenan ’54 Third Century Professor of English,"1984, B.A., Oberlin College, 1988, M.A., Cornell University, 1991, Ph.D., Cornell University",n
61,Gregory P. Casey,Assistant Professor of Economics,"2018, Ph.D., Brown University",n
62,Julie A. Cassiday,Willcox B. and Harriet M. Adsit Professor of Russian,"1986, B.A., Grinnell College, 1990, M.A., Stanford University, 1995, Ph.D., Stanford University",n
63,David N. Cassuto,Class of 1946 Visiting Distinguished Professor of Environmental Studies,"1985, B.A., Wesleyan University, 1994, Ph.D., Indiana University, Fall 2018",n
64,Anik A. Cepeda,Assistant Professor of Physical Education and Head Coach of Women’s Tennis,"2013, B.A., College of William and Mary",n
65,Maria Elena Cepeda,Professor of Latina/o Studies,"1995, B.A., Kenyon College, 1997, M.A., University of Michigan, 2003, Ph.D., University of Michigan",n
66,G. Donald Chandler,George R. Goethals Distinguished Visiting Professor of Leadership Studies,"1972, B.A., Williams College, 1978, M.B.A., Harvard University, Fall 2018",n
67,Cecilia Chang,Frederick Latimer Wells Professor of Chinese,"1981, B.A., Fu-Jen University, 1987, M.A., University of California, Los Angeles, 2004, Ph.D., University of Massachusetts Amherst",n
68,Jinhwa Chang,Visiting Lecturer in Japanese,"1994, B.A., Kyungpook National University",n
69,Matthew C. Chao,Assistant Professor of Economics,"2006, B.A., Dartmouth College, 2015, Ph.D., California Institute of Technology",y
70,Jessica M. Chapman,Associate Professor of History,"1999, B.A., Valparaiso University, 2001, M.A., University of California, Santa Barbara, 2006, Ph.D., University of California, Santa Barbara",n
71,C. Ondine L. Chavoya,Professor of Art,"1992, B.A., University of California, Santa Cruz, 1996, M.A., University of Rochester, 2002, Ph.D., University of Rochester",s
72,Melinda Y. Chen,Robert Sterling Clark Visiting Professor of Art History,none,n
73,Pei-Wen Chen,Assistant Professor of Biology,"2001, B.S., National Yang-Ming University, 2003, M.S., Albert Einstein Institute of College Medicine, 2008, Ph.D., Albert Einstein Institute of College Medicine",n
74,Shayok Chowdhury,Visiting Assistant Professor in Theatre,"2007, B.A., Stanford University, 2016, M.F.A., Columbia University",n
75,Kerry A. Christensen,Garfield Professor of Ancient Languages,"1981, B.A., Swarthmore College, 1983, M.A., Princeton University, 1993, Ph.D., Princeton University",n
76,Jennifer E. Chuks,Assistant Professor of Physical Education and Assistant Athletic Director/Student Athlete Services,"2006, B.A., University of Hartford, 2009, M.B.A., University of New Haven",n
77,Jason A. Cieply,Visiting Lecturer in Russian,"2016, Ph.D., Stanford University",n
78,Allana M. Clarke,Visiting Lecturer in Art,"2014, M.F.A., Maryland Institute College of Art",n
79,Matthew M. Clasen,Visiting Assistant Professor of Psychology,"2014, B.S., James Madison University, 2018, Ph.D., American University",n
80,Cassandra J. Cleghorn,Chair and Senior Lecturer in American Studies and English,"1983, B.A., University of California, Santa Cruz, 1988, M.A., Yale University, 1995, Ph.D., Yale University",n
81,Phoebe A. Cohen,Associate Professor of Geosciences,"2002, B.A., Cornell University, 2010, Ph.D., Harvard University",n
82,Jeremy D. Cone,Assistant Professor of Psychology,"2012, Ph.D., Cornell University",y
83,Michael P. Conforti,Lecturer in the Graduate Program in Art History,"1968, B.A., Trinity College, 1973, M.A., Harvard University, 1977, Ph.D., Harvard University",n
84,José A. Constantine,Assistant Professor of Geosciences,"1999, B.S., College of William and Mary, 2002, M.S., University of California, Davis, 2008, Ph.D., University of California, Santa Barbara",n
85,Mea S. Cook,Chair and Associate Professor of Geosciences,"1999, B.A., Princeton University, 2006, Ph.D., Massachusetts Institute of Technology",n
86,Andrew R. Cornell,Visiting Assistant Professor of American Studies,"2000, B.A., University of Michigan, 2011, Ph.D., New York University",n
87,Ronadh Cox,Edward Brust Professor of Geology and Mineralogy,"1985, B.S., University College Dublin, 1993, Ph.D., Stanford University",y
88,George T. Crane,Chair of Asian Studies and W. Van Alan Clark ’41 Third Century Professor in the Social Sciences,"1979, B.A., State University of New York, Purchase, 1981, M.A., University of Wisconsin, Madison, 1986, Ph.D., University of Wisconsin, Madison",n
89,Marshall K. Creighton,Lecturer in Physical Education and Assistant Strength & Conditioning Coach,"2002, B.A., Williams College",n
90,Justin E. Crowe,Associate Professor of Political Science,"2003, B.A., Williams College, 2005, M.A., Princeton University, 2007, Ph.D., Princeton University",n
91,Joseph L. Cruz,Professor of Philosophy,"1991, B.A., Williams College, 1999, Ph.D., University of Arizona",f
92,Erica A. Dankmeyer,Artist-in-Residence in Dance,"1991, B.A., Williams College",n
93,Andrea Danyluk,Mary A and William Wirt Warren Professor of Computer Science,"1984, A.B., Vassar College, 1986, M.S., Columbia University, 1992, Ph.D., Columbia University",y
94,Alan W. De Gooyer,Lecturer in English,"1987, B.A., Colorado State University, 1991, M.A., University of Denver, 1994, Ph.D., University of Virginia",n
95,Richard D. De Veaux,C. Carlisle and Margaret Tippit Professor of Statistics,"1973, A.B., Princeton University, 1980, M.A., Stanford University, 1986, Ph.D., Stanford University",n
96,Derek Dean,Lecturer in Biology,"1994, B.A., Oberlin College, 2004, Ph.D., Cornell University",n
97,Howard Dean,Bennett Boskey Distinguished Visiting Professor of Leadership Studies,none,s
98,Edan Dekel,Chair and Professor of Classics,"1996, B.A., Brown University, 1998, M.A., University of California, Berkeley, 2005, Ph.D., University of California, Berkeley",n
99,Marek Demianski,Visiting Professor of Astronomy,"1962, B.A., University of Warsaw, 1966, Ph.D., University of Warsaw",n
100,Nicole S. Desrosiers,Lecturer in Romance Languages,"1973, M.A., University of Massachusetts Amherst, 1980, Ph.D., University of Massachusetts Amherst",n
101,Charles B. Dew,Ephraim Williams Professor of American History,"1958, B.A., Williams College, 1964, Ph.D., Johns Hopkins University",n
102,Phoebe G. Donnelly,Stanley Kaplan Visiting Postdoctoral Fellow in the Department of Political Science and Leadership Studies Program,"2008, B.A., University of Wisconsin, Madison, 2013, M.A., Fletcher School of Law and Diplomacy, 2018, Ph.D., Fletcher School of Law and Diplomacy",n
103,Stephen Charles Doret,Assistant Professor of Physics,"2002, B.A., Williams College, 2006, A.M., Harvard University, 2010, Ph.D., Harvard University",n
104,Georges B. Dreyfus,Jackson Professor of Religion,"1969, B.A., La Chaux-de-Fonds, 1987, M.A., University of Virginia, 1991, Ph.D., University of Virginia",n
105,Helga Druxes,Chair of German and Russian and Professor of German,"1982, B.A., Westfalische Wilhelms-University, 1985, M.A., Brown University, 1987, Ph.D., Brown University",n
106,Sara L. Dubow,Professor of History,"1991, B.A., Williams College, 1996, M.A., University of Massachusetts Amherst, 2003, Ph.D., Rutgers University",n
107,Susan Dunn,Massachusetts Professor of Humanities,"1966, B.A., Smith College, 1973, Ph.D., Harvard University",n
108,Hali J. Edison,Visiting Professor Center for Development Economics,none,f
109,David B. Edwards,James N. Lambert ’39 Professor of Anthropology,"1975, B.A., Princeton University, 1979, M.A., University of Michigan, 1986, Ph.D., University of Michigan",n
110,Frances C. Edwards,Senior Lecturer in Art,"1975, B.A., Princeton University, 1981, M.A., University of Michigan, 1990, Ph.D., New York University Institution of Fine Arts",s
111,Joan Edwards,Samuel Fessenden Clarke Professor of Biology,"1971, B.A., University of Michigan, 1972, M.S., University of Michigan, 1978, Ph.D., University of Michigan",y
112,Radwa M. El Barouni,Visiting Lecturer in Arabic Studies,"1999, B.A., Alexandria University, 2016, M.A., University of Texas, Austin",n
113,Brahim B. El Guabli,Assistant Professor of Arabic Studies,"2005, B.A., University of Bordeaux, 2016, Ph.D., Princeton University",n
114,Susan L. Engel,Senior Lecturer in Psychology,"1980, B.A., Sarah Lawrence College, 1985, Ph.D., City University of New York",n
115,Laura D. Ephraim,Associate Professor of Political Science,"2000, B.A., Pomona College, 2010, Ph.D., Northwestern University",n
116,Amal Eqeiq,Assistant Professor of Comparative Literature,"1997, B.A., Hebrew University- Jerusalem, 2006, M.A., University of Oregon, 2013, Ph.D., University of Washington",n
117,Peter K. Farwell,Assistant Professor of Physical Education,"Head Cross Country Coach, and Assistant Coach Men’s and Women’s Track, 1973, B.A., Williams College, 1990, M.A., Central MI University",n
