,name,title,degrees,leave
180,Ju-Yu Scarlett Jang,Professor of Art; 1969,"B.A., National Cheng-Chih University, 1984, M.A., University of California, Berkeley, 1989, Ph.D., University of California, Berkeley; affiliated with: Asian Studies Department",n
181,Bill K. Jannen,Assistant Professor of Computer Science; 2009,"B.A., Williams College, 2017, Ph.D., Stony Brook University",n
182,Anne Jaskot,Assistant Professor of Astronomy; 2008,"B.A., Williams College, 2014, Ph.D., University of Michigan, Ann Arbor; affiliated with: Physics Department",n
183,Katharine E. Jensen,Assistant Professor of Physics; 2004,"A.B., Princeton University, 2013, Ph.D., Harvard University",n
184,Cathy M. Johnson,James Phinney Baxter III Professor of Political Science; 1979,"B.A., Dartmouth College, 1986, Ph.D., University of Michigan; on leave Spring 2020",s
185,Stewart D. Johnson,Professor of Mathematics; 1979,"B.A., Fort Lewis College, 1985, Ph.D., Stanford University; on leave Fall 2019",f
186,Walter Johnston,Lecturer in English; 2002,"B.A., Bard College, 2007, M.A., Princeton University, 2012, Ph.D., Princeton University",n
187,Kevin M. Jones,William Edward McElfresh Professor of Physics; 1977,"B.A., Williams College, 1983, Ph.D., Stanford University",n
188,Peter Just,Professor of Anthropology; 1972,"B.A., University of Chicago, 1979, M.A., University of Pennsylvania, 1986, Ph.D., University of Pennsylvania",n
189,Shinko Kagaya,Professor of Japanese; 1989,"B.A., Aoyama Gakuin University, 1991, M.A., Ohio State University, 1999, Ph.D., Ohio State University; on leave Spring 2020",s
190,William Kangas,Assistant Professor of Physical Education and Head Men's Ice Hockey Coach; 1982,"B.A., University of Vermont, 1994, M.Ed., Massachusetts College of Liberal Arts",n
191,Aparna Kapadia,Associate Professor of History; 1998,"B.A., St. Xavier's College, Mumbai University, 2001, M.A., Jawaharlal Nehru University, 2005, M.Phil., Jawaharlal Nehru University, 2010, Ph.D., University of London; affiliated with: Asian Studies Department",n
192,Anuj Kapoor,Visiting Assistant Professor of English; 2007,"B.A., Columbia University, 2019, Ph.D., University of Virginia",n
193,Paul M. Karabinos,Charles L. MacMillan Professor in Natural Sciences; 1975,"B.S., University of Connecticut, 1981, Ph.D., Johns Hopkins University",n
194,Catherine Kealhofer,Assistant Professor of Physics; 2003,"A.B., Princeton University, 2013, Ph.D., Stanford University; on leave 2019-2020",y
195,Christi L. Kelsey,Assistant Professor of Physical Education and Head Women's Volleyball Coach; 2000,"B.S., Purdue University, 2012, M.S., Northeastern University",n
196,Kathryn R. Kent,Chair and Professor of English; 1988,"B.A., Williams College, 1993, M.A., Duke University, 1996, Ph.D., Duke University",n
197,Susanne Ryuyin Kerekes,Gaius Charles Bolin Fellow in Religion and Asian Studies; 2007,"B.A., DePauw University, 2012, M.A., Mahidol University, 2018, Ph.D., University of Pennsylvania; affiliated with: Asian Studies Department",n
198,Savan Kharel,Visiting Assistant Professor of Physics; 2008,"B.S., Indiana University, 2014, Ph.D., University of Tennessee",n
199,Anthony Y. Kim,Visiting Assistant Professor of American Studies; 2006,"B.A., University of California, San Diego, 2013, M.A., University of California, San Diego, 2016, Ph.D., University of California, San Diego",n
200,Kris N. Kirby,Professor of Psychology; 1985,"B.A., Marshall University, 1991, Ph.D., Harvard University; on leave Fall 2019",f
201,Roger A. Kittleson,Professor of History; 1985,"B.A., Northwestern University, 1989, M.A., Stanford University, 1990, M.A., University of Wisconsin, Madison, 1997, Ph.D., University of Wisconsin, Madison; affiliated with: Latina/o Studies Program",n
202,John E. Kleiner,Professor of English; 1983,"B.A., Amherst College, 1985, M.S., Cornell University, 1988, M.A., Stanford University, 1991, Ph.D., Stanford University",n
203,Bernhard Klingenberg,Professor of Statistics; 1996,"B.A., Technical University, Graz, Austria, 1998, M.S., Technical University, Graz, Austria, 2004, Ph.D., University of Florida; on leave 2019-2020",y
204,Pia M. Kohler,Assistant Professor of Environmental Studies; 1998,"B.S., McGill University, 2001, M.E.S., Yale School of Forestry and Environmental Studies, 2006, Ph.D., Massachusetts Institute of Technology",n
205,Thomas A. Kohut,Sue and Edgar Wachenheim III Professor of History; 1972,"B.A., Oberlin College, 1975, M.A., University of Minnesota, 1983, Ph.D., University of Minnesota, 1984, Graduate, Cincinnati Psychoanalytic Institute",n
206,Pramila Kolekar,Visiting Lecturer in the Graduate Program in Art History; 2018,"Ph.D., Boston College",n
207,Christophe A. Kone,Assistant Professor of German; 2006,"M.A., Universite Lumiere Lyon 2, 2013, Ph.D., Rutgers University",n
208,Nate Kornell,Associate Professor of Psychology; 1996,"B.A., Reed College, 2001, M.A., Columbia University, 2005, Ph.D., Columbia University",n
209,Cornelius C. Kubler,Stanfield Professor of Asian Studies; 1972,"B.A., Cornell University, 1975, M.A., Cornell University, 1978, M.A., National Taiwan University, 1981, Ph.D., Cornell University; on leave 2019-2020",y
210,Joanna Kurkowicz,Lyell B. Clay Artist in Residence,"Violin and Concertmaster, Berkshire Symphony; 1992, M.M., J. Paderewski Conservatory of Music, Poland, 1994, M.M., University of Massachusetts, Amherst, 1998, A.D., New England Conservatory, Boston",n
211,Steven Kuster,Assistant Professor of Physical Education and Head Swim Coach; 1993,"B.A., University of Pennsylvania, 1999, M.Ed., Harvard University",n
212,Kenneth N. Kuttner,Robert F. White Class of 1952 Professor of Economics; 1982,"B.A., University of California, Berkeley, 1989, Ph.D., Harvard University",n
213,Sara LaLumia,Professor of Economics,"Chair of Political Economy Program; 2000, B.A., Youngstown State University, 2006, Ph.D., University of Michigan",n
214,Edwin Lawrence,Artist Associate in Harpsichord,"Piano and Organ and Lecturer in Music; 1969, B.M., State University of New York, Fredonia",n
215,Tim J. Lebestky,Associate Professor of Biology,"Chair of Neuroscience Program; 1995, B.S., University of Kansas, 2002, Ph.D., University of California, Los Angeles",n
216,Alice Lee,Assistant Professor of Physical Education and Head Women's Lacrosse Coach; 2009,"B.S., Central Connecticut State University, 2015, M.S., University of Massachusetts, Amherst",n
217,Joel Lee,Assistant Professor of Anthropology; 1998,"B.A., Kenyon College, 2008, M.A., Columbia University, 2015, Ph.D., Columbia University; on leave Fall 2019",f
218,Jason Lemieux,Assistant Professor of Physical Education and Head Nordic Ski Coach; 2001,"B.A., Williams College",n
219,William J. Lenhart,A. Barton Hepburn Professor of Computer Science; 1977,"B.S., Saint Josephs College, 1979, M.A., Dartmouth College, 1983, Ph.D., Dartmouth College; on leave Spring 2020",s
220,Anne R. Leonard,Lecturer in the Graduate Program in Art History; 2003,"Ph.D., Harvard University",n
221,Neil Leonard,Arthur Levitt,"Jr. '52 Artist-in-Residence; 2001, M.M., New England Conservatory of Music",n
222,Kelsey Levine,Assistant Professor of Physical Education and Head Alpine Ski Coach; 2010,"B.A., Williams College",n
223,Zafi Levy,Assistant Professor of Physical Education and Head Squash Coach; 2001,"B.A., Williams College",n
224,Michael J. Lewis,Faison-Pierson-Stoddard Professor of Art History; 1980,"B.A., Haverford College, 1989, Ph.D., University of Pennsylvania",n
225,Scott Lewis,Assistant Professor of Physical Education and Director of Outing Club; 1980,"B.S., Springfield College, 1985, M.Ed., Springfield College",n
226,Tat-siong B. Liew,Croghan Bicentennial Professor in Biblical and Early Christian Studies,none,n
227,John K. Limon,John J Gibson Professor of English; 1974,"B.A., Harvard University, 1981, Ph.D., University of California, Berkeley",n
228,Haydee M. A. Lindo,Assistant Professor of Mathematics; 2008,"B.A., Williams College, 2012, M.S., University of Nebraska, 2016, Ph.D., University of Utah",n
229,Rob Livingstone,Lecturer in Physical Education,"Head Strength and Conditioning Coach; 2000, B.S., Jacksonville State University",n
230,David W. Loehlin,Assistant Professor of Biology; 2003,"A.B., University of Chicago, 2011, Ph.D., University of Rochester",n
231,Susan R. Loepp,Professor of Mathematics; 1989,"B.S., Bethel College, 1989, B.A., Bethel College, 1994, Ph.D., University of Texas; on leave 2019-2020",y
232,Gretchen Long,Professor of History,"Faculty Fellow of the Davis Center and the Office of Institutional Diversity and Equity; 1989, B.A., Wesleyan University, 1994, M.A., University of Chicago, 2003, Ph.D., University of Chicago; affiliated with: The Davis Center, VP- InstDiversity&Equity Office",n
233,David A. Love,Provost,"Class of 1969 Professor of Economics; 1996, B.A., University of Michigan, 1998, M.A., Yale University, 2003, Ph.D., Yale University; affiliated with: Economics Department",n
234,Kimberly S. Love,Assistant Professor of English; 2010,"B.A., Tuskegee University, 2017, Ph.D., University of Virginia",n
235,Peter D. Low,Professor of Art; 1994,"B.A., University of Toronto, 1995, M.A., Johns Hopkins University, 2001, Ph.D., Johns Hopkins University",n
236,Daniel V. Lynch,Philip and Dorothy Schein Professor of Biology; 1979,"B.S., University of Massachusetts, Lowell, 1983, Ph.D., University of Texas, Austin",n
237,Michael D. MacDonald,Frederick L. Schuman Professor of International Relations; 1972,"B.A., University of California, Berkeley, 1974, M.A., University of California, Berkeley, 1983, Ph.D., University of California, Berkeley",n
238,Jenna MacIntire,Lecturer in Chemistry; 1992,"B.A., University of Vermont",n
239,Alicia C. Maggard,Postdoctoral Fellow in Maritime History; 2010,"B.A., Willamette University, 2014, M.A., Brown University, 2018, Ph.D., Brown University",n
240,James E. Mahon,Woodrow Wilson Professor of Political Science,"Chair of Advisory Committee on Shareholder Responsibility; 1977, B.A., Dartmouth College, 1983, M.A., University of California, Berkeley, 1989, Ph.D., University of California, Berkeley",n
241,Protik K. Majumder,Barclay Jermain Professor of Natural Philosophy; 1982,"B.S., Yale University, 1989, Ph.D., Harvard University",n
242,Marc Mandel,Assistant Professor of Physical Education and Head Men's Crew Coach; 1998,"B.A., Northwestern University, 2012, M.B.A., Georgetown University",n
243,Maud Mandel,President,Professor of History; affiliated with: History Department,n
244,James A. Manigault-Bryant,Professor of Africana Studies and Faculty Affiliate in Anthropology and Sociology and Religion; 1995,"B.A., Tulane University, 2002, Ph.D., Brown University; affiliated with: Religion Department, Anthropology and Sociology; on leave 2019-2020",y
245,Rhon S. Manigault-Bryant,Associate Professor of Africana Studies and Faculty Affiliate in Religion; 1999,"A.B., Duke University, 2002, M.Div., Emory University, 2007, Ph.D., Emory University; on leave 2019-2020",y
246,Patricia Manning,Assistant Professor of Physical Education and Head Women's Basketball Coach; 1977,"B.S., State University of New York, Cortland, 1981, M.S., State University of New York, Cortland, 1988, M.S., Smith College",n
247,Luana S. Maroja,Associate Professor of Biology,"Chair of Biochemistry Program; 1999, B.S., Universidade Federal do Rio de Janeiro, 2001, M.S., Universidade Federal do Rio de Janeiro, 2008, Ph.D., Cornell University",n
248,Brian Martin,Professor of French & Comparative Literature; 1993,"A.B., Harvard University, 1996, M.A., University of California, Los Angeles, 1999, A.M., Harvard University, 2003, Ph.D., Harvard University; on leave Spring 2020",s
249,Laura J. Martin,Assistant Professor of Environmental Studies and Faculty Affiliate in History; 2006,"S.B., Brown University, 2010, M.S., Cornell University, 2015, Ph.D., Cornell University; affiliated with: History Department",n
250,Martha Marvin,Lecturer in Neuroscience; 1984,"B.A., University of California, Berkeley, 1995, Ph.D., Massachusetts Institute of Technology",n
251,Aleksandar Matovski,Visiting Assistant Professor of Political Science; 2015,"Ph.D., Cornell University",n
252,James McAllister,Chair of Leadership Studies & Fred Greene Third Century Professor of Political Science; 1986,"B.A., State University of New York, Buffalo, 1989, M.A., Columbia University, 1999, Ph.D., Columbia University; affiliated with: Leadership Studies Program",n
253,Samuel McCauley,Assistant Professor of Computer Science; 2010,"B.S., Tufts University, 2016, Ph.D., Stony Brook University",n
254,George McCormack,Assistant Professor of Physical Education,"Head Men's Lacrosse Coach; 1987, B.S., Ithaca College, 2007, M.Ed., Boston University",n
255,Mark T. McDonough,Lecturer in Physical Education,"Assistant Football Coach; 2002, B.S., Ithaca College",n
256,Elizabeth P. McGowan,Chair and Robert Sterling Clark Professor of Art; 1979,"B.A., Princeton University, 1981, M.A., New York University Institute of Fine Arts, 1983, Ph.D., New York University Institute of Fine Arts",n
257,Keith E. McPartland,Associate Professor of Philosophy; 1994,"B.A., Rutgers University, 1998, M.A., Cornell University, 2007, Ph.D., Cornell University",n
258,Gage C. McWeeny,Professor of English; 1993,"B.A., Columbia University, 1998, M.A., Princeton University, 2003, Ph.D., Princeton University; affiliated with: Oakley Ctr for Human & Soc Sci",n
259,Brittany Meché,Gaius Charles Bolin Fellow in the Environmental Studies Program,none,n
260,Lisa Melendy,Chair,"Director of Athletics and Assistant Professor in Physical Education; 1982, A.B., Smith College, 1985, M.S., University of Massachusetts, Amherst",n
261,Carolina Melgarejo-Torres,Visiting Assistant Professor of Spanish; 2008,"B.A., Universidad Nacional Autónoma de México, 2012, M.A., El Colegio de México, , Ph.D.(c), (candidate) El Colegio de México, Linguistics",n
262,Nicole E. Mellow,Professor of Political Science; 1992,"B.A., Vassar College, 2003, Ph.D., University of Texas at Austin; affiliated with: Leadership Studies Program",n
263,April Merleaux,Visiting Assistant Professor of Environmental Studies; 1995,"B.A., Reed College, 2002, M.S., Tufts University, 2007, M.Phil., Yale University, 2010, Ph.D., Yale University",n
264,Karen R. Merrill,Frederick Rudolph '42 - Class of 1965 Professor of American Culture; 1986,"B.A., Oberlin College, 1988, M.A., University of Denver, 1994, Ph.D., University of Michigan",n
265,Olivier Meslay,Lecturer in the Graduate Program in Art History; 1981,"B.A., Sorbonne University, 1982, M.A., Sorbonne University",n
266,Brian E. Messier,Artist in Residence in Winds and Director of the Wind Ensemble; 2003,"B.M., Ithaca College, 2011, M.M., University of Massachusetts, 2014, D.M., University of Minnesota",n
267,Carolyn D. Miles,Assistant Professor of Physical Education and Associate Director/Student Athlete Services; 1998,"B.S., University of New Hampshire, 2008, M.S., Columbia University",n
268,Steven J. Miller,Professor of Mathematics; 1996,"B.S., Yale University, 1998, M.A., Princeton University, 2002, Ph.D., Princeton University",n
269,Marion Min-Barron,Visiting Assistant Professor; 2002,"B.A., Middlebury College, 2010, M.S., Tufts Friedman School of Nutrition Science & Policy, 2010, M.P.H., Tufts School of Medicine, 2016, Ph.D., Tufts Friedman School of Nutrition Science & Policy",n
270,Gregory C. Mitchell,Associate Professor of Women's,"Gender and Sexuality Studies and Faculty Affiliate in Anthropology/Sociology, Chair of Women's, Gender, and Sexuality Studies; 2000, B.S., Illinois State University, 2001, M.S., Illinois State University, 2007, M.A., University of Chicago, 2012, Ph.D., Northwestern University; affiliated with: Anthropology and Sociology; on leave 2019-2020",y
271,Bojana Mladenovic,Professor of Philosophy; 1984,"B.A., University of Belgrade, 1987, M.A., McGill University, 1996, Ph.D., University of California, Berkeley",n
272,Michele Monserrati,Visiting Assistant Professor of Comparative Literature and Romance Languages; 2009,"M.A., Rutgers University, 2012, Ph.D., Rutgers University; affiliated with: Romance Languages Department",n
273,Peter J. Montiel,Fairleigh S. Dickinson,"Jr. '41 Professor of Economics; 1973, Ph.D., Massachusetts Institute of Technology, 1973, B.A., Yale University; on leave Spring 2020",s
274,Manuel A. Morales,Professor of Biology; 1994,"A.B., Kenyon College, 1999, Ph.D., University of Connecticut",n
275,Frank Morgan,Visiting Professor of Mathematics; 1974,"B.S., Massachusetts Institute of Technology, 1976, M.A., Princeton University, 1977, Ph.D., Princeton University",n
276,Ralph E. Morrison,Assistant Professor of Mathematics; 2010,"B.A., Williams College, 2015, Ph.D., University of California, Berkeley; on leave 2019-2020",y
277,Murad K. Mumtaz,Assistant Professor of Art; 2004,"B.F.A., National College of Arts, 2010, M.F.A., Columbia University, 2018, Ph.D., University of Virginia",n
278,Ngonidzashe Munemo,Professor of Political Science; 2000,"B.A., Bard College, 2001, M.A., Columbia University, 2008, Ph.D., Columbia University; affiliated with: Global Studies; on leave 2019-2020",y
279,Tendai Muparutsa,Artist in Residence in African Music Performance,"Lecturer in Music, Director of Zambezi, Co-Director of Kusika; 2004, B.A., University of Zimbabwe, 2008, M.M., University of Idaho, 2012, Ph.D., University of Alberta",n
280,Peter T. Murphy,John Hawley Roberts Professor of English; 1981,"B.A., Yale University, 1986, Ph.D., Johns Hopkins University",n
281,Thomas P. Murtagh,John B. McCoy and John T. McCoy Professor of Computer Science; 1974,"A.B., Princeton University, 1976, M.S., Cornell University, 1983, Ph.D., Cornell University",n
282,Steven E. Nafziger,Professor of Economics; 2000,"B.A., Northwestern University, 2002, M.A., Yale University, 2003, M.Phil., Yale University, 2006, Ph.D., Yale University",n
283,Lama Nassif,Assistant Professor of Comparative Literature; 1994,"B.A., Damascus University, 2007, M.A., Middlebury Institute of International Studies at Monterey, 2014, Ph.D., University of Texas, Austin; affiliated with: Comparative Literature Program; on leave Fall 2019",f
284,Eli Nelson,Assistant Professor of American Studies; 2012,"B.A., Shimer College, 2013, M.A., Harvard University, 2018, Ph.D., Harvard University",n
285,Gail M. Newman,Harold J. Henry Professor of German,"Chair of Center for Foreign Languages, Literatures & Cultures; 1976, B.A., Northwestern University, 1981, M.A., University of Minnesota, 1984, Ph.D., University of Minnesota",n
286,Shaoyang Ning,Assistant Professor of Statistics; 2013,"B.S., Peking University, 2018, Ph.D., Harvard University; affiliated with: Mathematics",n
287,Nimu Njoya,Assistant Professor of Political Science; 2002,"B.A., Macalester College, 2004, M.A., University of Amsterdam, 2010, Ph.D., Rutgers University",n
288,James L. Nolan,Chair and Washington Gladden 1859 Professor of Sociology; 1984,"B.A., University of California, Davis, 1992, M.A., University of Virginia, 1995, Ph.D., University of Virginia",n
289,Christopher M. B. Nugent,Professor of Chinese,"Chair of Comparative Literature Program; 1991, B.A., Brown University, 2004, Ph.D., Harvard University",n
290,Will Olney,Associate Professor of Economics; 2002,"B.A., Wesleyan University, 2010, Ph.D., University of Colorado; on leave 2019-2020",y
291,Sarah E. Olsen,Assistant Professor of Classics; 2008,"B.A., Wellesley College, 2010, M.A., University of California, Berkeley, 2016, Ph.D., University of California, Berkeley",n
292,Ianna Hawkins Owen,Assistant Professor of English; 2008,"B.A., City University of New York, Hunter College, 2010, M.A., University of California, Berkeley, 2016, Ph.D., University of California, Berkeley",n
293,Allison Pacelli,Professor of Mathematics; 1997,"B.S., Union College, 2003, Ph.D., Brown University",n
294,Janine Parker,Artist-in-Residence in Dance,none,n
295,Lee Y. Park,William R. Kenan,"Jr. Professor of Chemistry; 1986, B.A., Wellesley College, 1992, Ph.D., Massachusetts Institute of Technology",n
296,Paul C. Park,Senior Lecturer in English; 1975,"B.A., Hampshire College; affiliated with: Graduate Program-Art History",n
297,Jay M. Pasachoff,Chair and Field Memorial Professor of Astronomy; 1963,"A.B., Harvard University, 1965, A.M., Harvard University, 1969, Ph.D., Harvard University, 1970, Postdoctoral Research at, Harvard College Observatory, 1972, Postdoctoral Research at, Caltech/Hale Observatories",n
298,Darel E. Paul,Professor of Political Science; 1990,"B.A., University of Minnesota, 1994, M.A., George Washington University, 2000, Ph.D., University of Minnesota; on leave 2019-2020",y
299,Enrique Peacock-López,Halford R Clark Professor of Natural Sciences; 1974,"B.S., Universidad Nacional Autonoma de Mexico, 1976, M.S., University of California, Riverside, 1982, Ph.D., University of California, San Diego",n
300,Lori A. Pedersen,Lecturer in Mathematics; 1982,"B.A., The College of Wooster, 1985, M.A., Brown University",n
301,Julie Pedroni,Lecturer in Philosophy; 1986,"B.A., Wells College, 1999, Ph.D., Georgetown University; affiliated with: Ctr-Environmental Studies",n
302,Peter L. Pedroni,Professor of Economics; 1986,"B.A., Miami University, 1993, M.A., Columbia University, 1993, Ph.D., Columbia University",n
303,Ileana Perez Velazquez,Professor of Music; 1989,"B.M., Higher Institute of Arts, 1995, M.A., Dartmouth College, 1999, D.M.A., Indiana University",n
304,James L. Pethica,Senior Lecturer in English and Theatre; 1980,"B.A., Oxford University, 1987, Ph.D., Oxford University; affiliated with: Theatre Department; on leave Fall 2019",f
305,Greg Phelan,Assistant Professor of Economics; 2007,"B.A., Yale University, 2010, M.A., Yale University, 2012, M.Phil., Yale University, 2014, Ph.D., Yale University",n
306,Katarzyna M. Pieprzak,Associate Dean of the Faculty,"Professor of Francophone Literature, French Language, and Comparative Literature; 1995, B.A., Rice University, 1998, M.A., University of Michigan, 2001, Ph.D., University of Michigan; affiliated with: Romance Languages Department",n
307,Shanti Pillai,Assistant Professor of Theatre; 1989,"B.A., Stanford University, 1990, M.A., University of California, Berkeley, 2005, Ph.D., New York University",n
308,Michelyne Pinard,Assistant Professor of Physical Education and Head Women's Soccer Coach; 1998,"B.A., Dartmouth College, 2002, M.S., University of Pennsylvania",n
309,Anna M. Plantinga,Assistant Professor of Statistics; 2013,"B.S., Calvin College, 2018, Ph.D., University of Washington; affiliated with: Mathematics",n
310,Amy D. Podmore,J. Kirk T. Varnedoe '67 Professor of Art; 1982,"B.S., State University of New York, Buffalo, 1987, M.F.A., University of California, Davis",n
311,Kailani Polzak,Assistant Professor of Art; 2007,"B.A., University of California, Santa Cruz, 2017, Ph.D., University of California, Berkeley",n
312,Lindsay S. Pope,Visiting Director of Choral/Vocal Activities; 2007,"B.A., Mount Holyoke College, 2011, M.M., Westminster Choir College of Rider University, 2019, D.M.A., University of North Texas",n
313,Daniel E. Prindle,Visiting Instructor in Music; 2003,"B.M., Berklee College of Music, 2011, M.M., University of Massachusetts, Amherst",n
314,Tim J. Pusack,Assistant Professor at Williams-Mystic; 2005,"B.A., Colgate University, 2013, Ph.D., Oregon State University",n
315,Christopher L. Pye,Class of 1924 Professor of English; 1975,"B.A., Oberlin College, 1977, M.A., University College, 1984, Ph.D., Cornell University; on leave Spring 2020",s
316,Ashok S. Rai,Associate Professor of Economics; 1992,"B.A., Stanford University, 1997, Ph.D., University of Chicago",n
317,Bob Rawle,Assistant Professor of Chemistry; 2008,"B.A., Pomona College, 2014, Ph.D., Stanford University",n
318,Mark R. Raymond,Assistant Professor of Physical Education and Head Coach of Football,none,n
319,Anjuli F. Raza Kolb,Associate Professor of English; 2003,"B.A., Columbia College, 2006, M.A., Columbia University, 2008, M.Phil., Columbia University, 2013, Ph.D., Columbia University; on leave 2019-2020",y
320,Anne Reinhardt,Chair and Professor of History; 1990,"B.A., Harvard University, 1994, M.A., University of California, Berkeley, 2002, Ph.D., Princeton University",n
321,Mark T. Reinhardt,Chair and Class of 1956 Professor of American Civilization; 1983,"B.A., Wesleyan University, 1991, Ph.D., University of California, Santa Cruz; affiliated with: American Studies Program",n
322,Bernard J. Rhie,Associate Professor of English; 1997,"B.A., University of California, Berkeley, 2001, M.A., University of Pennsylvania, 2005, Ph.D., University of Pennsylvania",n
323,David P. Richardson,William R. Kenan,"Jr. Professor of Chemistry; 1979, B.S., University of Michigan, 1984, Ph.D., University of California, Berkeley, 1986, Postdoctoral Research at, Cornell University; on leave Fall 2019",f
324,Neil Roberts,Chair and Associate Professor of Africana Studies and Faculty Affiliate in Political Science and Religion; 1998,"B.A., Brown University, 2003, M.A., University of Chicago, 2007, Ph.D., University of Chicago; affiliated with: Religion Department, Political Science Department",n
325,Shivon A. Robinson,Assistant Professor of Psychology; 2011,"B.A., Williams College, 2016, Ph.D., University of Pennsylvania",n
326,Shantee Rosado,U.S. Afro-Latinidades Fellow In Latina and Latino Studies; 2009,"B.A., Macalester College, 2013, M.A., University of Pennsylvania",n
327,Nelly A. Rosario,Associate Professor of Latina/o Studies; 1994,"S.B., Massachusetts Institute of Technology, 1998, M.F.A., Columbia University",n
328,Shawn J. Rosenheim,Professor of English,"Chair of Campus Environmental Committee; 1985, B.A., Oberlin College, 1988, M.A., Yale University, 1993, Ph.D., Yale University",n
329,Jennifer K. Rosenthal,Instructor in Chemistry,none,n
330,Leyla Rouhi,Preston S. Parish '41 Third Century Professor of Romance Languages; 1987,"B.A., Oxford University, 1988, M.A., Harvard University, 1995, Ph.D., Harvard University",n
331,Marketa Rulikova,Visiting Assistant Professor of Sociology; 1996,"B.A., University of Pardubice, 1997, M.A., Central European University, 2001, Ph.D., Polish Academy of Science",n
332,Sophie F. Saint-Just,Assistant Professor of French and Francophone Studies; 1991,"B.A., La Sorbonne Nouvelle (Paris III), 1994, M.A., La Sorbonne Nouvelle (Paris III), 2004, M.Phil., City University of New York, 2013, Ph.D., City University of New York; on leave 2019-2020",y
333,Michael Samson,Senior Lecturer in Economics; 1983,"B.A., Yale University, 1994, Ph.D., Stanford University",n
334,Alberto Sandoval-Sanchez,Bennett Boskey Visiting Professor of Latina/o Studies,none,n
335,Marlene J. Sandstrom,Dean of the College,"Hales Professor of Psychology; 1991, B.A., Yale University, 1993, M.A., Duke University, 1996, Ph.D., Duke University; affiliated with: Psychology Department",n
336,Noah J. Sandstrom,Chair and Professor of Psychology; 1994,"B.A., Knox College, 1997, M.A., Duke University, 1999, Ph.D., Duke University",n
337,Omar A. Sangare,Professor of Theatre; 1993,"M.F.A., The Theatre Academy, 2006, Ph.D., The Theatre Academy",n
338,Robert M. Savage,Professor of Biology; 1987,"B.A., Bowdoin College, 1993, Ph.D., Wesleyan University",n
339,Kenneth K. Savitsky,Professor of Psychology; 1993,"B.A., Indiana University, 1997, Ph.D., Cornell University",n
340,Jana Sawicki,Chair of Philosophy and Morris Professor of Rhetoric; 1974,"B.A., Sweet Briar College, 1978, M.A., Columbia University, 1983, Ph.D., Columbia University",n
341,Kirsten L. Scheid,Clark Oakley Fellow,none,n
342,Lucie Schmidt,Professor of Economics and Director of the Williams-Exeter Programme at Oxford University; 1993,"A.B., Smith College, 1997, M.A., University of Michigan, 2003, Ph.D., University of Michigan; affiliated with: Williams-Exeter Prg at Oxford",n
343,Pallavi Sen,Assistant Professor of Art; 2016,"M.F.A., Virginia Commonwealth University",n
344,Eun Young Seong,Visiting Assistant Professor of Japanese; 2019,"Ph.D., University of California, Irvine",n
345,Justin B. Shaddock,Assistant Professor of Philosophy; 2004,"B.A., University of Notre Dame, 2011, Ph.D., University of Chicago; on leave 2019-2020",y
346,Cheryl Shanks,Professor of Political Science; 1983,"B.A., University of California, Santa Cruz, 1988, M.A., University of Michigan, 1994, Ph.D., University of Michigan; on leave Fall 2019",f
347,Kelly A. Shaw,Associate Professor of Computer Science; 1997,"B.S., Duke University, 2005, Ph.D., Stanford University",n
348,James R. Shepard,J. Leland Miller Professor of American History,"Literature, and Eloquence; 1978, B.A., Trinity College, 1980, M.F.A., Brown University; on leave Fall 2019",f
349,Karen L. Shepard,Senior Lecturer in English; 1987,"B.A., Williams College, 1992, M.F.A., University of Houston; on leave Fall 2019",f
350,Stephen C. Sheppard,Class of 2012 Professor of Economics; 1977,"B.S., University of Utah, 1979, M.A., Washington University, 1984, Ph.D., Washington University",n
351,W. Anthony Sheppard,Marylin & Arthur Levitt Professor of Music; 1991,"B.A., Amherst College, 1993, M.F.A., Princeton University, 1996, Ph.D., Princeton University; on leave Fall 2019",f
352,Olga Shevchenko,Professor of Sociology; 1996,"B.A., Moscow State University, 1997, M.A., Central European University, 2002, Ph.D., University of Pennsylvania; on leave 2019-2020",y
353,Grant Shoffstall,Visiting Assistant Professor of Sociology; 2002,"B.A., Illinois State University, 2006, M.A., Illinois State University, 2014, Ph.D., University of Illinois",n
354,Lara D. Shore-Sheppard,Chair and Kimberly A. '96 and Robert R. '62 Henry Professor of Economics; 1991,"B.A., Amherst College, 1993, M.A., Princeton University, 1996, Ph.D., Princeton University",n
355,Cesar E. Silva,Hagey Family Professor of Mathematics; 1977,"B.S., Catholic University of Peru, 1979, M.A., University of Rochester, 1984, Ph.D., University of Rochester; on leave 2019-2020",y
356,Christina E. Simko,Assistant Professor of Sociology; 2005,"B.A., Bridgewater College, 2007, M.A., University of Virgina, 2013, Ph.D., University of Virginia",n
357,Jason Simms,Visiting Lecturer in Theatre; 2005,"B.F.A., Cornish College of the Arts, 2009, M.F.A., New York University, Tisch School of the Arts",n
358,Shikha Singh,Assistant Professor of Computer Science; 2013,"M.S., Indian Institute of Technology, 2018, Ph.D., Stony Brook University",n
359,Eiko Maruko Siniawer,Professor of History; 1997,"B.A., Williams College, 1999, M.A., Harvard University, 2003, Ph.D., Harvard University; affiliated with: Asian Studies Department; on leave Spring 2020",s
